2018/03/20 14:52:02;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 14:52:02;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 14:57:45;0;A;Alarm;61;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/20 14:57:55;0;A;Alarm;51;Amber road signals hardware failure;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/20 15:00:11;0;A;ELS-95 Diagn.;1;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 15:00:11;0;A;ELS-95 Diagn.;2;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 15:00:11;0;A;ELS-95 Diagn.;3;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 15:00:11;0;A;ELS-95 Diagn.;4;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 15:00:11;0;A;Wersja oprogramowania;;M2018/0332#00;;;;
2018/03/20 15:01:12;0;A;ELS-95 Diagn.;6;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/20 15:01:12;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/20 15:01:48;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/20 15:01:49;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 15:01:49;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 15:15:54;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/20 15:16:00;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/20 15:16:12;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 15:16:12;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 15:16:59;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/20 15:17:05;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/20 15:41:59;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 15:41:59;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 16:16:38;0;A;Alarm;7;Usterka modułu EOD;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 16:16:38;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 07:35:45;0;A;Alarm;7;Usterka modułu EOD;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 07:35:45;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 07:35:54;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 07:35:56;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:07:42;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:07:48;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:07:54;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:07:54;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:08:14;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:09:16;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:10:06;0;A;Alarm;9;Zagrożenie pożarem;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:02;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;1;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;2;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;3;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;4;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;5;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;6;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;7;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:02;0;A;ELS-95 Diagn.;8;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:52;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 15:23:52;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:52;0;A;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:52;0;A;Alarm;61;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:53;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:23:53;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:24:26;0;A;Alarm;51;Amber road signals hardware failure;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:24:42;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:24:48;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:24:48;0;A;Wersja oprogramowania;;M2018/0332#00;;;;
2018/03/21 15:25:10;0;A;Alarm;60;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:25:18;0;A;Alarm;61;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:26:21;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:26:21;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:33:32;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:33:38;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:36:19;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 15:36:51;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 15:36:52;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:36:52;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:37:14;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:37:24;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:37:35;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:37:35;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:40:24;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:40:38;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 16:43:33;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 16:44:12;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 16:44:14;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 16:44:14;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 16:46:25;0;A;SPA-5 Mode;;"Mode: 2-Diag;
 Mod Num 4, Err Num 156;
 Mod Num 9, Err Num 166;
 Mod Num 11, Err Num 154;;";;;
2018/03/21 16:46:25;0;A;SPA-5 Mode;;"Mode: 2-Diag;
 Mod Num 15, Err Num 154;
 Mod Num 16, Err Num 158;;";;;
2018/03/21 16:53:39;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 16:54:39;0;A;SPA-5 Mode;;"Mode: 2-Diag;
 Mod Num 1, Err Num 196;;";;;
2018/03/21 16:56:22;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 16:56:57;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 16:56:59;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 16:56:59;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 16:57:08;0;A;SPA-5 Mode;;"Mode: 2-Diag;
 Mod Num 16, Err Num 154;;";;;
2018/03/21 17:00:10;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 17:00:46;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 17:00:48;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:00:48;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:00:58;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:01:25;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:01:37;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:01:37;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:01:37;0;A;Wersja oprogramowania;;M2018/0332#00;;;;
2018/03/21 17:02:01;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:02:11;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:11:09;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 17:11:44;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 17:11:45;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:11:45;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:11:54;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:12:00;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:19:37;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 17:21:25;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 17:21:58;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 17:22:00;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:22:00;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 17:22:10;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:22:16;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 17:30:51;0;A;Alarm;7;Usterka modułu EOD;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 17:30:51;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/22 08:14:19;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/22 08:14:19;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/22 08:19:41;0;A;Alarm;7;Usterka modułu EOD;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/22 08:19:41;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/22 09:50:09;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/22 09:50:15;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/22 09:50:54;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/22 09:50:54;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
